City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
133,Vilhena,BR,82.62,few clouds,-12.7406,-60.1458,Hotel Mirage
134,Maple Grove,US,78.26,few clouds,45.0725,-93.4558,Hilton Garden Inn Minneapolis / Maple Grove
136,Mansa,IN,84.63,overcast clouds,29.9833,75.3833,STARiHOTEL Mansa
138,Lanxi,CN,82.38,clear sky,29.2195,119.477,Shangri-La Hotel
147,Matay,EG,81.14,clear sky,28.419,30.7792,Nag Aespen
149,Quesnel,CA,81.1,clear sky,52.9999,-122.5029,Ramada by Wyndham Quesnel
161,Popondetta,PG,84.78,scattered clouds,-8.7537,148.2534,Timos Transit House
178,Samana,DO,84.16,broken clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
185,Kimbe,PG,79.86,few clouds,-5.5502,150.1429,Kimbe Bay Hotel
190,Naze,JP,79.72,overcast clouds,28.3667,129.4833,Shishime Hotel
197,Aitape,PG,80.51,few clouds,-3.1374,142.3475,
202,Katsuura,JP,80.2,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
208,Wilmington,US,84.11,clear sky,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
211,Hithadhoo,MV,81.25,overcast clouds,-0.6,73.0833,Scoop Guest House
216,Kutum,SD,81.82,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
218,Bhinga,IN,83.37,broken clouds,27.7167,81.9333,ANAND MISHTAN BHANDAR AND COFFEE TEA SETAL
220,Tautira,PF,79.18,light rain,-17.7333,-149.15,Pension Oaoa
