City_ID,City,Country,Date,Current Description,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
139,Morros,BR,2022-07-23 22:34:10,clear sky,-9.4467,-46.3003,76.06,36,2,3.6
140,Zyryanka,RU,2022-07-23 22:34:10,clear sky,65.75,150.85,68.32,36,0,6.46
141,Rezh,RU,2022-07-23 22:34:11,overcast clouds,57.37,61.4043,61.14,71,94,3.87
142,Hasanabad,IR,2022-07-23 22:34:11,clear sky,36.5465,61.0543,86.22,42,0,4.61
143,Khatanga,RU,2022-07-23 22:34:11,few clouds,71.9667,102.5,56.55,76,13,12.95
144,Dunedin,NZ,2022-07-23 22:34:12,clear sky,-45.8742,170.5036,47.8,62,2,15.01
145,Leningradskiy,RU,2022-07-23 22:34:12,overcast clouds,69.3833,178.4167,34.68,94,100,6.73
146,Clarence Town,AU,2022-07-23 22:34:13,few clouds,-32.5833,151.7833,53.85,84,17,1.83
147,Matay,EG,2022-07-23 22:32:53,clear sky,28.419,30.7792,81.14,42,0,14.43
148,Mahebourg,MU,2022-07-23 22:34:13,scattered clouds,-20.4081,57.7,69.26,83,40,8.05
149,Quesnel,CA,2022-07-23 22:30:46,clear sky,52.9999,-122.5029,81.1,29,0,5.75
150,Ahipara,NZ,2022-07-23 22:33:22,light rain,-35.1667,173.1667,56.3,89,100,17.72
151,Cidreira,BR,2022-07-23 22:31:37,broken clouds,-30.1811,-50.2056,62.33,97,57,9.78
152,Haines Junction,CA,2022-07-23 22:34:14,broken clouds,60.7522,-137.5108,62.55,36,74,12.66
153,Ixtapa,MX,2022-07-23 22:34:14,broken clouds,20.7,-105.2,86.23,74,75,1.99
154,Surandai,IN,2022-07-23 22:34:14,broken clouds,8.9667,77.4,75.51,84,84,11.32
155,Kathu,TH,2022-07-23 22:34:15,overcast clouds,7.9178,98.3332,85.75,83,100,6.15
156,Victoria,HK,2022-07-23 22:31:33,scattered clouds,22.2855,114.1577,89.19,82,31,4.0
157,Tepechitlan,MX,2022-07-23 22:34:15,scattered clouds,21.6667,-103.3333,64.81,83,48,6.4
158,Peniche,PT,2022-07-23 22:34:16,clear sky,39.3558,-9.3811,66.29,91,0,10.16
159,Souillac,MU,2022-07-23 22:34:16,scattered clouds,-20.5167,57.5167,68.38,83,40,8.05
160,Camaguey,CU,2022-07-23 22:34:16,scattered clouds,21.3808,-77.9169,89.94,55,40,14.97
161,Popondetta,PG,2022-07-23 22:34:17,scattered clouds,-8.7537,148.2534,84.78,64,42,0.63
162,Vila Velha,BR,2022-07-23 22:31:11,few clouds,-20.3297,-40.2925,73.35,85,20,5.75
163,Kinsale,IE,2022-07-23 22:34:17,broken clouds,51.7075,-8.5306,62.24,94,75,12.66
164,Tuktoyaktuk,CA,2022-07-23 22:34:17,light rain,69.4541,-133.0374,51.8,93,100,14.97
165,Talnakh,RU,2022-07-23 22:33:13,overcast clouds,69.4865,88.3972,65.21,55,85,3.76
166,Yeppoon,AU,2022-07-23 22:34:18,clear sky,-23.1333,150.7333,56.98,73,0,7.54
167,Nuuk,GL,2022-07-23 22:34:18,broken clouds,64.1835,-51.7216,48.72,74,54,12.01
168,Broome,US,2022-07-23 22:27:46,broken clouds,42.2506,-75.833,93.02,41,75,5.75
169,Plouzane,FR,2022-07-23 22:34:19,few clouds,48.3833,-4.6167,61.12,97,20,10.36
170,Espanola,US,2022-07-23 22:34:19,broken clouds,35.9911,-106.0806,93.94,32,58,8.01
171,Port-Gentil,GA,2022-07-23 22:34:19,scattered clouds,-0.7193,8.7815,75.16,78,40,6.91
172,Ryotsu,JP,2022-07-23 22:34:20,overcast clouds,38.0833,138.4333,74.35,83,99,3.13
173,Beloha,MG,2022-07-23 22:30:16,few clouds,-25.1667,45.05,65.66,73,11,4.54
174,Coolum Beach,AU,2022-07-23 22:34:20,scattered clouds,-26.5333,153.1,62.11,80,31,12.84
175,Tigil,RU,2022-07-23 22:26:32,scattered clouds,57.8,158.6667,62.1,49,48,1.99
176,Tommot,RU,2022-07-23 22:34:21,broken clouds,58.9564,126.2925,75.49,78,77,1.05
177,Ukiah,US,2022-07-23 22:30:02,clear sky,39.1502,-123.2078,102.43,22,0,5.01
178,Samana,DO,2022-07-23 22:34:21,broken clouds,19.2056,-69.3369,84.16,80,76,8.12
179,Barrow,US,2022-07-23 22:34:22,overcast clouds,71.2906,-156.7887,37.42,87,100,12.66
180,Whitehorse,CA,2022-07-23 22:33:53,broken clouds,60.7161,-135.0538,63.37,39,75,4.61
